qid,P1087,qal585,S813,S854,S1440
Q4395681,2349,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000172
Q27524646,2495,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000245
Q488452,2455,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000377
Q942782,2450,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000431
Q27525861,2360,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001136
Q27524196,2335,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001624
Q6227916,2239,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001705
Q19960248,2413,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2001756
Q27523970,2315,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2002159
Q27525108,2360,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,112593
Q27524475,2364,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,113522
Q27527050,2407,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2006960
Q314531,2766,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4126025
Q2863141,2531,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,600113
Q27523524,2328,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,907928
Q784862,2442,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100587
Q27530665,2319,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,101281
Q345543,2522,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1108760
Q27523087,2277,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,113190
Q352413,2540,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14602377
Q28479754,2123,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2501465
Q352301,2420,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2600056
Q27529613,2281,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,300080
Q27525719,2321,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,300110
Q363291,2445,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,300160
